id,phrase,correct_concept,meaning,example,difficulty,tags
1,"Fer-ne cinc cèntims","Resumir","Explicar una cosa de manera breu i resumida.","Em pots fer cinc cèntims de la reunió?",1,"comunicació,resum"
2,"Tocar el dos","Marxar","Anar-se'n d'un lloc.","Quan va començar a ploure, vam tocar el dos.",1,"moviment"
3,"Estar a la lluna","Estar distret","No estar atent al que passa.","Avui estàs a la lluna i no escoltes res.",1,"atenció"
4,"Fer mans i mànigues","Esforçar-se molt","Fer tot el possible per aconseguir una cosa.","Va fer mans i mànigues per acabar el projecte.",2,"esforç"
5,"No tocar ni quarts ni hores","Estar desorientat","No entendre una situació o estar confós.","Després de l'explicació encara no tocava ni quarts ni hores.",3,"confusió"
6,"Anar per feina","Actuar amb eficàcia","Posar-se a treballar sense perdre temps.","Si volem acabar avui, hem d'anar per feina.",1,"feina,ritme"
7,"Tenir la mà trencada","Tenir experiència","Saber fer molt bé una cosa perquè se n'ha fet molta pràctica.","La Jana té la mà trencada fent presentacions.",2,"habilitat"
8,"Posar fil a l'agulla","Començar","Iniciar una tasca o posar-se a resoldre una qüestió.","Dilluns posarem fil a l'agulla amb el projecte nou.",1,"acció,inici"
9,"Buscar tres peus al gat","Complicar-se","Veure dificultats o problemes on no n'hi ha.","No busquis tres peus al gat, que és molt senzill.",2,"conflicte"
10,"Fer campana","Absència","No anar a classe o a una obligació sense motiu justificat.","Van fer campana divendres a la tarda.",1,"escola"
11,"Quedar-se de pedra","Sorprendre's molt","Reaccionar amb gran sorpresa i quedar immòbil.","Quan ho va sentir, es va quedar de pedra.",2,"emocions"
12,"Ser un cul inquiet","No parar quiet","Moure's constantment i costar-li estar quiet.","Aquest nen és un cul inquiet i no s'asseu mai.",1,"moviment,caràcter"
13,"Fer el cor fort","Animar-se","Treure coratge per afrontar una situació difícil.","Vaig fer el cor fort abans d'entrar a l'examen.",2,"emocions,coratge"
14,"Anar de bòlit","Anar molt atrafegat","Tenir molta feina o moltes coses alhora.","Aquesta setmana vaig de bòlit amb els lliuraments.",2,"temps,feina"
15,"No dir ni piu","Callar","No dir absolutament res.","Durant tota la reunió no va dir ni piu.",1,"comunicació"
16,"Tenir el cap ple de pardals","Ser poc realista","Imaginar coses impossibles o molt poc probables.","Tens el cap ple de pardals si penses acabar-ho avui tot sol.",3,"pensament"
17,"Veure-les venir","Preveure un problema","Adonar-se amb temps que una situació es complicarà.","Ja les vaig veure venir quan ningú contestava els correus.",3,"anticipació"
18,"Passar amb l'ai al cor","Patir","Estar preocupat o anguniat mentre passa una cosa.","Vam passar tota la tarda amb l'ai al cor esperant notícies.",3,"emocions,angoixa"
